Country,State,City,Station,Monitering Board,Latitude,Longitude,Pollutant_id,Pollutant_min,Pollutant_max,Pollutant_avg,AQI range,Concern level
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah  ", BSPCB,26.80365,84.51954,OZONE,22,23,23,38.33333333,Good
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai  ", CECB,21.224231,81.40835,CO,22,48,31,51,Satisfactory
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar  ", GPCB,21.613267,73.010555,SO2,22,32,30,50,Good
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar  ", IITM,23.163798,72.677768,NO2,22,86,46,76.34482759,Satisfactory
India,Haryana,Kaithal,"Rishi Nagar, Kaithal  ", HSPCB,29.8006,76.4155,CO,22,93,34,56.06896552,Satisfactory
India,Madhya Pradesh,Sagar,"Deen Dayal Nagar, Sagar  ", MPPCB,23.8640158,78.80289321,PM2.5,22,96,68,124.8965517,Moderate
India,Kerala,Thrissur,"Corporation Ground, Thrissur  ", Kerala PCB,10.5324,76.2159,CO,22,31,27,45,Good
India,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai  ", IITM,19.053536,72.84643,CO,22,74,26,43.33333333,Good
India,Odisha,Brajrajnagar,"GM Office, Brajrajnagar  ", OSPCB,21.8004996,83.8396977,CO,22,62,56,93.24137931,Satisfactory
India,Telangana,Hyderabad,"Bollaram Industrial Area, Hyderabad  ", TSPCB,17.540891,78.358528,CO,22,45,32,52.68965517,Satisfactory
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad  ", UPPCB,28.88528,78.7388,SO2,22,25,24,40,Good
India,Bihar,Begusarai,"Lohiyanagar, Begusarai  ", BSPCB,25.42742023,86.13886079,SO2,22,28,25,41.66666667,Good
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur  ", NTPC,22.08815,82.13737,NO2,22,229,46,76.34482759,Satisfactory
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru  ", CPCB,12.9135218,77.5950804,OZONE,22,23,23,38.33333333,Good
India,Karnataka,Davanagere,"Devaraj Urs Badavane, Davanagere  ", KSPCB,14.4758,75.9052,NO2,22,32,26,43.33333333,Good
India,Maharashtra,Mumbai,"Kandivali East, Mumbai  ", MPCB,19.2058,72.8682,SO2,22,27,25,41.66666667,Good
India,Maharashtra,Pimpri-Chinchwad,"Gavalinagar, Pimpri Chinchwad  ", MPCB,18.63673,73.82487,CO,22,103,38,62.82758621,Satisfactory
India,Odisha,Barbil,"Forest Office, Barbil  ", OSPCB,22.1166054,85.3945546,CO,22,101,35,57.75862069,Satisfactory
India,TamilNadu,Coimbatore,"SIDCO Kurichi, Coimbatore  ", TNPCB,10.942451,76.978996,SO2,22,23,23,38.33333333,Good
India,Uttar_Pradesh,Kanpur,"NSI Kalyanpur, Kanpur  ", UPPCB,26.509954,80.249612,SO2,22,26,23,38.33333333,Good
India,Telangana,Hyderabad,"New Malakpet, Hyderabad  ", TSPCB,17.37206,78.50864,CO,22,44,36,59.44827586,Satisfactory
India,Bihar,Buxar,"Charitra Van, Buxar  ", BSPCB,25.56752,83.966379,CO,22,27,25,41.66666667,Good
India,Madhya Pradesh,Indore,"Chhoti Gwaltoli, Indore  ", MPPCB,22.431,75.5213,SO2,22,30,25,41.66666667,Good
India,Rajasthan,Kota,"Nayapura, Kota  ", RSPCB,25.196024,75.855668,CO,22,61,34,56.06896552,Satisfactory
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur  ", CECB,21.219665,81.630094,CO,22,96,44,72.96551724,Satisfactory
India,Gujarat,Surat,"Katargam, Surat  ", Nexteng Enviro,21.217779,72.834787,NO2,22,96,58,96.62068966,Satisfactory
India,Maharashtra,Solapur,"Ratandeep Housing Society, Solapur  ", MPCB,17.65439,75.90649,CO,22,110,41,67.89655172,Satisfactory
India,Odisha,Bileipada,"Tata Township, Bileipada  ", OSPCB,22.06156703,85.47409613,CO,22,44,25,41.66666667,Good
India,Rajasthan,Dausa,"Khatikan Mohalla, Dausa  ", RSPCB,26.895552,76.334753,CO,22,85,33,54.37931034,Satisfactory
India,Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow  ", UPPCB,26.766433,80.927299,PM2.5,22,111,59,98.31034483,Satisfactory
India,Uttarakhand,Kashipur,"Govt. Girls Inter College, Kashipur  ", UKPCB,29.2124114,78.9611753,CO,22,32,28,46.66666667,Good
India,Karnataka,Bengaluru,"Peenya, Bengaluru  ", CPCB,13.0270199,77.494094,NO2,23,28,25,41.66666667,Good
India,Assam,Guwahati,"Railway Colony, Guwahati  ", PCBA,26.181742,91.78063,SO2,23,26,25,41.66666667,Good
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru  ", CPCB,12.9135218,77.5950804,SO2,23,23,23,38.33333333,Good
India,Madhya Pradesh,Gwalior,"Maharaj Bada, Gwalior  ", MPPCB,26.200388,78.147714,NO2,23,52,35,57.75862069,Satisfactory
India,Rajasthan,Dausa,"Khatikan Mohalla, Dausa  ", RSPCB,26.895552,76.334753,PM2.5,23,80,41,67.89655172,Satisfactory
India,Rajasthan,Sirohi,"Vedhaynath Colony, Sirohi  ", RSPCB,24.885261,72.857549,PM2.5,23,87,40,66.20689655,Satisfactory
India,West_Bengal,Asansol,"Trivenidevi Bhalotia College, Asansol  ", WBPCB,23.616515,87.119133,NO2,23,39,31,51,Satisfactory
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi  ", CPCB,28.6811736,77.3025234,OZONE,23,45,29,48.33333333,Good
India,Haryana,Palwal,"Shyam Nagar, Palwal  ", HSPCB,28.1485564,77.3320667,NO2,23,24,24,40,Good
India,Karnataka,Bengaluru,"Peenya, Bengaluru  ", CPCB,13.0270199,77.494094,PM2.5,23,50,34,56.06896552,Satisfactory
India,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru  ", CPCB,12.9352049,77.6814488,OZONE,23,55,36,59.44827586,Satisfactory
India,Madhya Pradesh,Jabalpur,"Gupteshwar, Jabalpur  ", JMC,23.142888,79.916147,NO2,23,89,44,72.96551724,Satisfactory
India,Rajasthan,Kota,"Dhanmandi, Kota  ", RSPCB,25.16409,75.858137,NO2,23,97,44,72.96551724,Satisfactory
India,Uttar_Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow  ", CPCB,26.83399722,80.8917361,CO,23,67,43,71.27586207,Satisfactory
India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad  ", TSPCB,17.429398,78.569354,CO,23,36,28,46.66666667,Good
India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad  ", UPPCB,28.856664,78.772638,SO2,23,39,34,56.06896552,Satisfactory
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram  ", APPCB,16.9872867,81.7363176,NO2,23,41,30,50,Good
India,Delhi,Delhi,"Chandni Chowk, Delhi  ", IITM,28.656756,77.227234,CO,23,118,53,88.17241379,Satisfactory
India,Delhi,Delhi,"Sirifort, Delhi  ", CPCB,28.5504249,77.2159377,NO2,23,30,26,43.33333333,Good
India,Rajasthan,Jaipur,"RIICO Sitapura, Jaipur  ", RSPCB,26.786682,75.827928,NO2,23,349,82,172.6896552,Moderate
India,Uttar_Pradesh,Ghaziabad,"Vasundhara, Ghaziabad  ", UPPCB,28.6603346,77.3572563,NO2,23,115,57,94.93103448,Satisfactory
India,Assam,Guwahati,"Pan Bazaar, Guwahati  ", PCBA,26.1875,91.744194,SO2,23,50,34,56.06896552,Satisfactory
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar  ", Nexteng Enviro,21.755417,72.139056,PM2.5,23,161,82,172.6896552,Moderate
India,Karnataka,Tumakuru,"Thimmalapura, Tumakuru  ", KSPCB,13.377516,77.099072,OZONE,23,23,23,38.33333333,Good
India,Madhya Pradesh,Jabalpur,"Marhatal, Jabalpur  ", MPPCB,23.168606,79.932247,OZONE,23,30,27,45,Good
India,Madhya Pradesh,Katni,"Gole Bazar, Katni  ", MPPCB,23.50016,80.23284,CO,23,85,41,67.89655172,Satisfactory
India,Uttar_Pradesh,Prayagraj,"Nagar Nigam, Prayagraj  ", UPPCB,25.44919916,81.82735986,SO2,23,103,68,124.8965517,Moderate
India,Bihar,Munger,"Town Hall, Munger  ", BSPCB,25.376776,86.471523,SO2,24,32,29,48.33333333,Good
India,Bihar,Begusarai,"Lohiyanagar, Begusarai  ", BSPCB,25.42742023,86.13886079,OZONE,24,40,37,61.13793103,Satisfactory
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur  ", KSPCB,13.428828,77.731418,SO2,24,51,44,72.96551724,Satisfactory
India,Madhya Pradesh,Sagar,"Civil Lines, Sagar  ", MPPCB,23.838586,78.759431,OZONE,24,88,70,131.7241379,Moderate
India,Punjab,Mandi Gobindgarh,"RIMT University, Mandi Gobindgarh  ", PPCB,30.649961,76.331442,NO2,24,24,24,40,Good
India,Odisha,Balasore,"Kalidaspur, Balasore  ", OSPCB,21.51161,86.89088,CO,24,61,36,59.44827586,Satisfactory
India,Odisha,Brajrajnagar,"GM Office, Brajrajnagar  ", OSPCB,21.8004996,83.8396977,PM2.5,24,301,77,155.6206897,Moderate
India,Odisha,Brajrajnagar,"GM Office, Brajrajnagar  ", OSPCB,21.8004996,83.8396977,NO2,24,34,29,48.33333333,Good
India,Rajasthan,Jalore,"Mudtra Sili, Jalore  ", RSPCB,25.344694,72.626208,CO,24,106,50,83.10344828,Satisfactory
India,Rajasthan,Pratapgarh,"Pragati Nagar, Pratapgarh  ", RSPCB,24.041198,74.780702,CO,24,36,28,46.66666667,Good
India,Telangana,Hyderabad,"IITH Kandi, Hyderabad  ", TSPCB,17.585705,78.126199,OZONE,24,36,25,41.66666667,Good
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru  ", KSPCB,12.951913,77.539784,OZONE,24,56,40,66.20689655,Satisfactory
India,Maharashtra,Dhule,"Deopur, Dhule  ", MPCB,20.918946,74.776388,OZONE,24,76,60,100,Satisfactory
India,TamilNadu,Chennai,"Manali Village, Chennai  ", TNPCB,13.1662,80.2584,CO,24,82,27,45,Good
India,Uttar_Pradesh,Meerut,"Pallavpuram Phase 2, Meerut  ", UPPCB,29.06351,77.709723,CO,24,93,53,88.17241379,Satisfactory
India,West_Bengal,Kolkata,"Bidhannagar, Kolkata  ", WBPCB,22.58157048,88.41002457,CO,24,100,31,51,Satisfactory
India,Telangana,Hyderabad,"Nacharam_TSIIC IALA, Hyderabad  ", TSPCB,17.429398,78.569354,OZONE,24,29,27,45,Good
India,Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor  ", APPCB,13.20488,79.097889,NO2,24,31,29,48.33333333,Good
India,Madhya Pradesh,Bhopal,"T T Nagar, Bhopal  ", MPPCB,23.233584,77.400574,NO2,24,47,31,51,Satisfactory
India,Odisha,Bhubaneswar,"Patia, Bhubaneswar  ", OSPCB,20.34652,85.8163,OZONE,24,130,99,228.3103448,Poor
India,Odisha,Rourkela,"Raghunathpali, Rourkela  ", OSPCB,22.220833,84.809444,CO,24,107,44,72.96551724,Satisfactory
India,Telangana,Hyderabad,"Central University, Hyderabad  ", TSPCB,17.460103,78.334361,CO,24,48,29,48.33333333,Good
India,West_Bengal,Kolkata,"Fort William, Kolkata  ", WBPCB,22.55664,88.342674,CO,24,106,32,52.68965517,Satisfactory
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur  ", BSPCB,26.11442,85.39813,NO2,24,56,34,56.06896552,Satisfactory
India,Haryana,Faridabad,"New Industrial Town, Faridabad  ", HSPCB,28.39072,77.30059,NO2,24,26,25,41.66666667,Good
India,Odisha,Suakati,"OMC Colony, Suakati  ", OSPCB,21.606865,85.510538,CO,24,35,24,40,Good
India,Maharashtra,Solapur,"Dnyaneshwar Nagar, Solapur  ", MPCB,17.6336264,75.9132495,OZONE,24,71,59,98.31034483,Satisfactory
India,Rajasthan,Jodhpur,"Samrat Ashok Udhyan, Jodhpur  ", RSPCB,26.253384,72.976571,CO,24,38,26,43.33333333,Good
India,Bihar,Saharsa,"Police Line, Saharsa  ", BSPCB,25.892357,86.590325,PM2.5,25,232,111,269.2758621,Poor
India,Delhi,Delhi,"Jahangirpuri, Delhi  ", DPCC,28.73282,77.170633,CO,25,108,56,93.24137931,Satisfactory
India,Delhi,Delhi,"Anand Vihar, Delhi  ", DPCC,28.647622,77.315809,SO2,25,53,35,57.75862069,Satisfactory
India,Odisha,Angul,"Hakimapada, Angul  ", OSPCB,20.832874,85.104082,NO2,25,81,46,76.34482759,Satisfactory
India,Bihar,Chhapra,"Darshan Nagar, Chhapra  ", BSPCB,25.7808257,84.7446768,SO2,25,31,28,46.66666667,Good
India,Haryana,Faridabad,"New Industrial Town, Faridabad  ", HSPCB,28.39072,77.30059,OZONE,25,34,30,50,Good
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh)  ", HSPCB,27.9002,76.9938,OZONE,25,31,28,46.66666667,Good
India,Maharashtra,Chandrapur,"Chauhan Colony, Chandrapur  ", MPCB,19.9629,79.298714,OZONE,25,26,26,43.33333333,Good
India,Rajasthan,Jodhpur,"Mandor, Jodhpur  ", RSPCB,26.358805,73.047444,PM10,25,144,76,152.2068966,Moderate
India,Uttar_Pradesh,Kanpur,"NSI Kalyanpur, Kanpur  ", UPPCB,26.509954,80.249612,NO2,25,25,25,41.66666667,Good
India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad  ", UPPCB,28.856664,78.772638,NO2,25,25,25,41.66666667,Good
India,Maharashtra,Thane,"Kasarvadavali, Thane  ", MPCB,19.26777,72.97182,NO2,25,120,61,101,Moderate
India,Odisha,Talcher,"Talcher Coalfields,Talcher  ", OSPCB,20.9360711,85.1707021,NO2,25,72,54,89.86206897,Satisfactory
India,TamilNadu,Chennai,"Royapuram, Chennai  ", TNPCB,13.1036,80.2909,PM2.5,25,206,92,204.4137931,Poor
India,Uttar_Pradesh,Agra,"Shahjahan Garden, Agra  ", UPPCB,27.169338,78.03582,SO2,25,29,27,45,Good
India,West_Bengal,Kolkata,"Jadavpur, Kolkata  ", WBPCB,22.49929,88.36917,NO2,25,152,59,98.31034483,Satisfactory
India,Chhattisgarh,Korba,"Urja Nagar, Korba  ", CECB,22.348441,82.549611,PM2.5,25,161,60,100,Satisfactory
India,Karnataka,Dharwad,"Kalabhavan, Dharwad  ", KSPCB,15.459706,75.008381,NO2,25,27,25,41.66666667,Good
India,West_Bengal,Kolkata,"Ballygunge, Kolkata  ", WBPCB,22.5367507,88.3638022,NO2,25,102,54,89.86206897,Satisfactory
India,West_Bengal,Kolkata,"Ballygunge, Kolkata  ", WBPCB,22.5367507,88.3638022,CO,25,138,34,56.06896552,Satisfactory
India,Uttar_Pradesh,Moradabad,"Kashiram Nagar, Moradabad  ", UPPCB,28.849399,78.742362,NO2,25,25,25,41.66666667,Good
India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata  ", WBPCB,22.51106,88.35142,NO2,25,144,75,148.7931034,Moderate
India,Bihar,Arrah,"New DM Office, Arrah  ", BSPCB,25.5626095,84.663264,PM2.5,25,65,48,79.72413793,Satisfactory
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai  ", Bhilai Steel Plant,21.185571,81.343175,PM2.5,25,94,52,86.48275862,Satisfactory
India,Haryana,Fatehabad,"Huda Sector, Fatehabad  ", HSPCB,29.503664,75.467934,CO,25,43,26,43.33333333,Good
India,Jammu_and_Kashmir,Srinagar,"Rajbagh, Srinagar  ", JKPCC,34.066206,74.81982,PM10,25,37,30,50,Good
India,Telangana,Hyderabad,"New Malakpet, Hyderabad  ", TSPCB,17.37206,78.50864,PM2.5,25,131,63,107.8275862,Moderate
India,Uttar_Pradesh,Kanpur,"FTI Kidwai Nagar, Kanpur  ", UPPCB,26.428282,80.327067,PM2.5,25,109,54,89.86206897,Satisfactory
India,Uttar_Pradesh,Lucknow,"Gomti Nagar, Lucknow  ", UPPCB,26.86812,81.005119,OZONE,25,33,30,50,Good
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati  ", APPCB,13.615387,79.40923,NO2,26,33,30,50,Good
India,Haryana,Ambala,"Patti Mehar, Ambala  ", HSPCB,30.379589,76.778328,CO,26,45,32,52.68965517,Satisfactory
India,Delhi,Delhi,"Rohini, Delhi  ", DPCC,28.732528,77.11992,NO2,26,91,45,74.65517241,Satisfactory
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar  ", KSPCB,11.55358,76.55521,PM2.5,26,77,38,62.82758621,Satisfactory
India,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru  ", CPCB,12.9352049,77.6814488,PM2.5,26,241,102,238.5517241,Poor
India,Madhya Pradesh,Ratlam,"Shasthri Nagar, Ratlam  ", IPCA Lab,23.331731,75.045981,PM2.5,26,112,68,124.8965517,Moderate
India,Odisha,Angul,"Hakimapada, Angul  ", OSPCB,20.832874,85.104082,CO,26,108,56,93.24137931,Satisfactory
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi  ", DPCC,28.531346,77.190156,CO,26,68,34,56.06896552,Satisfactory
India,Jharkhand,Dhanbad,"Sardar Patel Nagar, Dhanbad  ", JSPCB,23.80569,86.44268,SO2,26,30,28,46.66666667,Good
India,Rajasthan,Bikaner,"MM Ground, Bikaner  ", RSPCB,28.018792,73.292658,NO2,26,139,63,107.8275862,Moderate
India,Rajasthan,Bikaner,"MM Ground, Bikaner  ", RSPCB,28.018792,73.292658,CO,26,124,62,104.4137931,Moderate
India,Uttar_Pradesh,Kanpur,"FTI Kidwai Nagar, Kanpur  ", UPPCB,26.428282,80.327067,NO2,26,27,27,45,Good
India,Uttar_Pradesh,Moradabad,"Kashiram Nagar, Moradabad  ", UPPCB,28.849399,78.742362,CO,26,38,28,46.66666667,Good
India,West_Bengal,Durgapur,"Womens College_City Center, Durgapur  ", WBPCB,23.549395,87.300496,CO,26,56,29,48.33333333,Good
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur  ", CECB,21.219665,81.630094,PM2.5,26,73,50,83.10344828,Satisfactory
India,Delhi,Delhi,"Pusa, Delhi  ", DPCC,28.639652,77.146275,NO2,26,162,77,155.6206897,Moderate
India,Haryana,Palwal,"Shyam Nagar, Palwal  ", HSPCB,28.1485564,77.3320667,CO,26,35,31,51,Satisfactory
India,Madhya Pradesh,Indore,"Maguda Nagar, Indore  ", IMC,22.7524,75.8872,CO,26,36,30,50,Good
India,Maharashtra,Nagpur,"Mahal, Nagpur  ", MPCB,21.14472,79.107595,NO2,26,79,44,72.96551724,Satisfactory
India,Maharashtra,Navi Mumbai,"Sanpada, Navi Mumbai  ", MPCB,19.0575752,73.0151367,CO,26,127,47,78.03448276,Satisfactory
India,Punjab,Khanna,"Kalal Majra, Khanna  ", PPCB,30.736056,76.209694,NO2,26,31,28,46.66666667,Good
India,Uttar_Pradesh,Varanasi,"Maldahiya, Varanasi  ", UPPCB,25.32393,82.99687,SO2,26,31,28,46.66666667,Good
India,Uttar_Pradesh,Vrindavan,"Omex Eternity, Vrindavan  ", UPPCB,27.571409,77.655757,PM10,26,107,57,94.93103448,Satisfactory
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura  ", CECB,22.12665,83.483212,CO,26,64,30,50,Good
India,Delhi,Delhi,"Ashok Vihar, Delhi  ", DPCC,28.695381,77.181665,CO,26,102,53,88.17241379,Satisfactory
India,Karnataka,Tumakuru,"Thimmalapura, Tumakuru  ", KSPCB,13.377516,77.099072,SO2,26,27,26,43.33333333,Good
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru  ", KSPCB,13.0246342,77.5080115,OZONE,26,27,27,45,Good
India,Uttar_Pradesh,Varanasi,"IESD Banaras Hindu University, Varanasi  ", UPPCB,25.262326,82.995408,SO2,26,43,30,50,Good
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur  ", APPCB,14.675886,77.593027,PM10,26,268,78,159.0344828,Moderate
India,Bihar,Siwan,"Chitragupta Nagar, Siwan  ", BSPCB,26.2271665,84.3570427,CO,26,105,59,98.31034483,Satisfactory
